Strefa (AB);Zakres (number);Operator (nazwa);Operator (ID);Strefa (nazwa);Strefa (symbol);Obszar numeracyjny;Data modyfikacji
12;12(5,7);Rezerwa regulacyjna;99991;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;121(0,1-8);Rezerwa regulacyjna;99991;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:44
12;1219;Rezerwa techniczna;99992;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122(3,4);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1220(5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-06-22 12:15
12;12200(0,1,3,6,8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122002;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122004;F.U.H. AG-NET Joanna M¹czeñska;8768;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122005;Belgacom International Carrier Services SA/NV;12051;KRAKÓW;SN-KR;CA£A SN;2017-07-12 12:15
12;122007;ITEL Solutions Sp. z o.o.;11274;KRAKÓW;SN-KR;CA£A SN;2022-08-05 12:15
12;122009;Colt Technology Services GmbH;12380;KRAKÓW;SN-KR;CA£A SN;2022-12-02 12:45
12;12201;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12202(1,2);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12202(3,4);Telestrada S.A.;4078;KRAKÓW;SN-KR;CA£A SN;2016-04-20 12:15
12;12202(5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122020;TOYA Sp. z o.o.;127;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12203(0,3-4,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2023-12-06 12:45
12;12203(2,5);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2023-12-06 12:45
12;122031;LoVo Sp. z o.o. Spó³ka komandytowa;10664;KRAKÓW;SN-KR;CA£A SN;2020-07-04 12:15
12;12204(0,2-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-06-22 12:15
12;122041;MEDIDESK Sp. z o.o.;12669;KRAKÓW;SN-KR;CA£A SN;2021-06-22 12:15
12;1221(4-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12210(3-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2020-04-09 12:15
12;122100;LoVo Sp. z o.o. Spó³ka komandytowa;10664;KRAKÓW;SN-KR;CA£A SN;2020-07-04 12:15
12;122101;Telfon Poland Sp. z o.o.;12517;KRAKÓW;SN-KR;CA£A SN;2019-03-07 12:15
12;122102;P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2021-09-29 12:15
12;12211;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12212(3-5);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12212(7-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;;2022-04-30 12:15
12;122120;K2M Sp. z o.o.;13135;KRAKÓW;SN-KR;;2022-04-30 12:15
12;122121;Limtel Sp. z o.o.;9118;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122122;IPTELEKOM Micha³ Ludwiczak;10051;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122126;STIMO Sp. z o.o.;8685;KRAKÓW;SN-KR;;2023-02-28 12:45
12;12213(0-1,4-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2017-10-05 12:15
12;122132;P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2017-10-05 12:15
12;122133;P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1222(0,1,3,4);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2016-09-30 12:15
12;1222(5-9);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12222;Polkomtel Sp. z o.o.;3;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1225(2-6,8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12250(0,1-3,5-7,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122504;Dialoga Servicios Interactivos S.A.;10930;KRAKÓW;SN-KR;;2015-10-30 12:15
12;122508;FIBERLINK Sp. z o.o.;5543;KRAKÓW;SN-KR;;2021-09-15 12:15
12;12251(0,1-7,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122518;DIDWW Ireland Limited;12132;KRAKÓW;SN-KR;CA£A SN;2018-11-24 12:15
12;12257(0,1,3-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122572;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2022-04-01 12:15
12;12259(0,1-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122599;Telnyx Ireland Limited;13021;KRAKÓW;SN-KR;CA£A SN;2022-03-01 12:15
12;1226(0,1,2,4,6,7,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12263(0,1,2,4,6-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12263(3,5);ITH Sp. Z o.o.;12635;KRAKÓW;SN-KR;CA£A SN;2020-03-14 12:15
12;12265(0,1-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122659;Media-Com Sp. z o.o.;2161;KRAKÓW;SN-KR;CA£A SN;2019-03-07 12:15
12;12268(0,1,2,4-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122683;GT11 Sp. z o.o.;10475;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1227(0,2-4,6);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12271(0,1-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122719;K2 MEDIA Janusz Kaczmarczyk;7535;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12275(0,1,3,4,7);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12275(2,5,6,8,9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12277(0,1-5,7-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122776;MYNET Sp. z o.o.;8053;KRAKÓW;SN-KR;CA£A SN;2018-07-04 12:15
12;12278(0,8-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12278(1-7);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12279(0,1-5,9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12279(6-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1228(0-1,4-5,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2016-07-09 12:15
12;12282(0-6,8-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2016-07-09 12:15
12;122827;ITH Sp. Z o.o.;12635;KRAKÓW;SN-KR;CA£A SN;2020-03-14 12:15
12;12283(0,1-3,5-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122834;Platan Sp. z o.o. Sp. k.;12733;KRAKÓW;SN-KR;CA£A SN;2022-10-08 12:20
12;12286(0,1,5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12286(2-4);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12287(0,1,3,4);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12287(2,5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12288(0,1-3,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12288(5-6);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2022-11-04 12:35
12;12288(7,8);Telestrada S.A.;4078;KRAKÓW;SN-KR;CA£A SN;2016-04-20 12:15
12;122884;CLAUDE ICT POLAND Sp. Z o.o.;9990;KRAKÓW;SN-KR;CA£A SN;2022-11-04 12:35
12;1229(0,2-9);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12291(0,1-8);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122919;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1230(2-5,9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12300(5-9);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;;2022-05-13 12:15
12;123000;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;123001;e-Telko Sp. z o.o.;11564;KRAKÓW;SN-KR;CA£A SN;2017-04-19 12:15
12;123002;IP Telecom Bulgaria LTD;11805;KRAKÓW;SN-KR;;2022-06-22 12:15
12;123003;NETTEL Sp. z o.o.;9575;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123004;LoVo Sp. z o.o. Spó³ka komandytowa;10664;KRAKÓW;SN-KR;;2016-12-22 12:15
12;12301;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12306(0-4,8-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-04-10 12:15
12;12306(5,7);SLICAN Sp. z o.o.;10012;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123066;SLICAN Sp. z o.o.;10012;KRAKÓW;SN-KR;CA£A SN;2021-04-10 12:15
12;12307;P4 Sp. z o.o.;92;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12308(0,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;;2019-07-06 12:15
12;12308(3-5);P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;;2020-01-15 12:15
12;123081;Orange Polska S.A.;1;KRAKÓW;SN-KR;;2016-04-01 12:15
12;123082;Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1231(0,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2016-07-15 12:15
12;12311(1-9);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123110;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12312(1-3);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123120;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123124;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123125;P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123126;Rezerwa techniczna;99992;KRAKÓW;SN-KR;CA£A SN;2023-01-02 12:20
12;123127;INET CENTRUM Sp. z o.o. ;5069;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123128;NASZASIEC.NET KRAKÓW Damian Murzynowski;7643;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123129;Nettelekom GK Sp. z o.o.;9896;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12313(0,1-8);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123139;EXATEL S.A.;18;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12314(0,9);S-NET Sp. z o.o.;8697;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12314(1,2);P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12314(3-8);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12315(1-7);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2016-07-15 12:15
12;12315(8,9);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2019-01-04 12:15
12;123150;P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2019-04-24 12:15
12;1232(0,2,5-7,9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12321;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12323(1-6,8);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123230;Debesis Sp. z o.o.;10138;KRAKÓW;SN-KR;;2015-12-29 12:15
12;123237;FREELY Sp. z o.o.;13143;KRAKÓW;SN-KR;;2022-03-11 12:15
12;123239;Intelligent Technologies S.A.;748;KRAKÓW;SN-KR;;2016-06-18 12:15
12;12324(0,2,4);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2016-11-03 12:15
12;12324(1,5-9);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2016-11-03 12:15
12;123243;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12328(0-1,4,7-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2023-09-29 12:45
12;12328(2,5);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2023-11-17 12:45
12;123283;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123286;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2021-08-05 12:15
12;1233(0,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-04-15 12:15
12;1233(1,2);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2020-04-30 12:15
12;12333(8,9);P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123330;HyperNET Sp. z o.o.;8619;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123331;CLAUDE ICT POLAND Sp. Z o.o.;9990;KRAKÓW;SN-KR;CA£A SN;2023-03-14 12:45
12;123332;I-TEL Sp. z o.o.;6768;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123333;INFANET Sylwester Kus;5441;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123334;Connected Sp. z o.o.;8033;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123335;CLUDO Sp z o.o.;10056;KRAKÓW;SN-KR;CA£A SN;2019-02-01 12:15
12;123336;Softblue S.A.;12915;KRAKÓW;SN-KR;CA£A SN;2021-01-15 12:15
12;123337;ST LINE Sp. z o.o. Sp. k.;12096;KRAKÓW;SN-KR;CA£A SN;2018-01-01 12:15
12;12334;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12335(0,2-6,8-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-05-20 12:15
12;123351;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-05-20 12:15
12;123357;P4 Sp. z o.o. (d. 3S S.A.);4408;KRAKÓW;SN-KR;CA£A SN;2021-05-20 12:15
12;1234(0,1,2,7,9);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1234(4,8);Polkomtel Sp. z o.o.;3;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12343(2,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;;2021-08-05 12:15
12;12343(3,5);Multimedia Polska Biznes S.A.;11221;KRAKÓW;SN-KR;;2016-01-16 12:15
12;123430;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2020-04-30 12:15
12;123431;BT Poland Sp. z o.o.;109;KRAKÓW;SN-KR;;2021-08-05 12:15
12;123434;Multimedia Polska Sp. z o.o.;180;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12345(1,2);Peoplefone Polska S.A.;7317;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12345(5,7);Softblue S.A.;12915;KRAKÓW;SN-KR;CA£A SN;2021-01-15 12:15
12;123450;VARS Sp. z o.o.;3274;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123453;Intelligent Technologies S.A.;748;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123454;IPTELL Sp. z o.o.;7201;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123456;Flexcom Sp. z o.o.;11973;KRAKÓW;SN-KR;CA£A SN;2021-12-16 12:15
12;123458;BT Poland Sp. z o.o.;109;KRAKÓW;SN-KR;CA£A SN;2021-06-03 12:15
12;123459;Flexcom Sp. z o.o.;11973;KRAKÓW;SN-KR;CA£A SN;2021-11-05 12:15
12;12346(1-6);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12346(7-9);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-10-10 12:15
12;123460;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2018-10-10 12:15
12;1235(3,4);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1235(8,9);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12350(1,5);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123500;FIBERLINK Sp. z o.o.;5543;KRAKÓW;SN-KR;CA£A SN;2016-06-01 12:15
12;123502;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123503;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2018-05-01 12:15
12;123504;Softblue S.A.;12915;KRAKÓW;SN-KR;CA£A SN;2021-01-15 12:15
12;123506;TARTEL Sp. z o.o.;7269;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123507;ENTER T&T Sp. z o.o.;10688;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123508;Roman Biduœ TELBIT wspólnik spó³ki cywilnej;7904;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123509;Vectra S.A.;5568;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12351(1-6,8);TK Telekom Sp. z o.o.;7;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123510;Focus Telecom Polska Sp. z o.o.;8974;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123517;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2023-11-04 12:45
12;123519;NETFIBRA Patryk Krokosz;12738;KRAKÓW;SN-KR;CA£A SN;2021-04-09 12:15
12;12352(1-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123520;BLAST.PL Sebastian Bagiñski;7337;KRAKÓW;SN-KR;;2015-09-12 12:15
12;123529;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;;2021-12-14 12:15
12;12355(0,1-8);TK Telekom Sp. z o.o.;7;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123559;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-12-30 12:15
12;12356(1,2);Naukowa i Akademicka Sieæ Komputerowa - Pañstwowy Instytut Badawczy;59;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12356(5-8);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123560;Hyperion S.A.;329;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123563;FHU BALMONT Monika Joanna Ba³a;1969;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123564;Softblue S.A.;12915;KRAKÓW;SN-KR;CA£A SN;2021-01-15 12:15
12;123569;RADIO-TELECOM Andrzej de Junosza Za³uski;2707;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12357(1-9);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123570;Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2016-02-16 12:15
12;1236(1,3);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;1236(6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12360;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12362(0,8);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KRAKÓW;SN-KR;CA£A SN;2019-03-26 12:15
12;12362(1,2);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12362(4-7);Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123623;ATMAN Sp. z o.o.;944;KRAKÓW;SN-KR;CA£A SN;2016-10-21 12:15
12;123629;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12364(0,6-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12364(1-5);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12365;Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12370(1-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123700;Globitel Sp. z o.o.;7243;KRAKÓW;SN-KR;CA£A SN;2017-03-08 12:15
12;123709;Pomerania Services Group Sp. z o.o.;11625;KRAKÓW;SN-KR;CA£A SN;2017-10-11 12:15
12;12371(0,1-4);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12371(5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12372;Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12373(0,1-6,8-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123737;Krapkowickie Sieci Internetowe Sp. z o.o.;11425;KRAKÓW;SN-KR;CA£A SN;2015-12-11 12:15
12;12374(0,1-8);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2020-04-30 12:15
12;123749;S-NET Sp. z o.o.;8697;KRAKÓW;SN-KR;CA£A SN;2021-04-10 12:15
12;12375(0,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12375(1-5);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2020-04-30 12:15
12;12376(0,1-6,9);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;;2018-04-11 12:15
12;12376(7,8);OXYLION S.A.;9891;KRAKÓW;SN-KR;;2015-12-01 12:15
12;12377;Polkomtel Sp. z o.o.;3;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12378(0,1,2,4-8);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;;2018-04-11 12:15
12;12378(3,9);OXYLION S.A.;9891;KRAKÓW;SN-KR;;2015-12-01 12:15
12;12379;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;;2018-04-11 12:15
12;1238(6,8,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12380(1-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123800;Peoplefone Polska S.A.;7317;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12381(1-4,9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-12-02 12:15
12;12381(5-8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123810;SYNTELL S.A.;10628;KRAKÓW;SN-KR;CA£A SN;2021-12-02 12:15
12;12382;T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12383(0,3);SYNTELL S.A.;10628;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12383(1,2,4-9);EXATEL S.A.;18;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12384(0,9);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2020-04-30 12:15
12;12384(1,2);EXATEL S.A.;18;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12384(3-7);Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123848;VOXNET Sp. z o.o. Sp. k.;728;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12385(0,1-7,9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123858;FIBERWAY Sp. z o.o.;9750;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12387(0,1-4,7-9);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;123875;Rezerwa techniczna;99992;KRAKÓW;SN-KR;CA£A SN;2023-01-02 12:20
12;123876;OXYLION S.A.;9891;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1239(7,8);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2018-04-11 12:15
12;12390;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12391(0-4,8);EXATEL S.A.;18;KRAKÓW;SN-KR;CA£A SN;2019-06-29 12:15
12;123915;FIBERWAY Sp. z o.o.;9750;KRAKÓW;SN-KR;CA£A SN;2021-06-03 12:15
12;123916;FIBERWAY Sp. z o.o.;9750;KRAKÓW;SN-KR;CA£A SN;2021-06-06 12:15
