Strefa (AB);Zakres (number);Operator (nazwa);Operator (ID);Strefa (nazwa);Strefa (symbol);Obszar numeracyjny;Data modyfikacji
32;323750;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;323753;LoVo Sp. z o.o. Spó³ka komandytowa;10664;KATOWICE;SN-KA;CA£A SN;2022-08-30 12:15
32;32376;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;3238(0,1,4,7,8);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32382(0,1-6);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32382(7-9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32383(0,1,2);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32383(3-7,9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2017-10-05 12:15
32;323838;POLTEL Sp. z o.o.;13246;KATOWICE;SN-KA;CA£A SN;2023-02-02 12:45
32;32385;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32386(0,1-3,7-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32386(4-6);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32389(0,1-4,6-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;323895;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2021-12-14 12:15
32;32390(0,1-5,8-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32390(6,7);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32391(0,1-4,8-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32391(5-7);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32392(0,1,2,7-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32392(4-6);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2023-04-01 12:45
32;323923;LoVo Sp. z o.o.;7184;KATOWICE;SN-KA;CA£A SN;2023-04-01 12:45
32;32393(0,1,7);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32393(2-6,8,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32394;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32395;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32396(0,1);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32396(2-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32397(0,2,6-7);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;32397(3-5,8,9);TeleGo sp. z o.o.;9324;KATOWICE;SN-KA;CA£A SN;2015-09-25 12:15
32;323971;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2017-09-13 12:15
32;32398(0,4,5,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32398(1-3,6-8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32399(0,2-8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;323991;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;323999;MEDIANET24.PL Sp. z o.o.;12672;KATOWICE;SN-KA;CA£A SN;2023-05-30 12:45
32;3240(2-9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32400(0,3-4,6-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;324001;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2016-07-09 12:15
32;324002;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2018-02-13 12:15
32;324005;FIONE Sp. z o.o. Sp. k.;11156;KATOWICE;SN-KA;CA£A SN;2018-02-13 12:15
32;32401(0,1,2,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32401(3-8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;3241(0,5,7,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32411;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
